signal_time,signal_price,fill_time,fill_price,symbol,side,amount_filled,fee,slippage_bps,client_order_id
2026-09-11T10:25:07.946288+00:00,77046.8,2026-09-11T10:25:08.994337+00:00,77046.8,BTC/USDT:USDT,sell,0.01,0.0,-0.0,bot-4776935b45074165
2026-09-11T10:33:38.275608+00:00,76989.8,2026-09-11T10:33:38.419214+00:00,76989.8,BTC/USDT:USDT,buy,0.01,0.0,0.0,bot-645ccfb7d3f84bbc
2026-09-11T10:35:30.771967+00:00,2464.25,2026-09-11T10:35:31.874964+00:00,2464.25,ETH/USDT:USDT,buy,0.01,0.0,0.0,bot-d3755f73c6504d35
2026-09-11T10:36:01.455187+00:00,2465.12,2026-09-11T10:36:01.589019+00:00,2465.12,ETH/USDT:USDT,sell,0.01,0.0,-0.0,bot-c9064bc57ac04506
2026-09-11T10:36:30.602608+00:00,2463.47,2026-09-11T10:36:30.735521+00:00,2463.47,ETH/USDT:USDT,sell,0.01,0.0,-0.0,bot-135d020353434c70
2026-09-11T10:44:27.719250+00:00,2462.59,2026-09-11T10:44:27.861999+00:00,2462.59,ETH/USDT:USDT,sell,0.01,0.0,-0.0,bot-6ec0c9f333b24555
2026-09-11T10:44:53.763296+00:00,2462.84,2026-09-11T10:44:53.903549+00:00,2462.84,ETH/USDT:USDT,buy,0.01,0.0,0.0,bot-83f736cb29694976
2026-09-12T06:32:05.520026+00:00,2513.05,2026-09-12T06:32:05.647588+00:00,2513.05,ETH/USDT:USDT,buy,0.01,0.0,0.0,bot-4db001d82a474183
2026-09-12T06:42:19.673806+00:00,2515.3,2026-09-12T06:42:20.629944+00:00,2515.3,ETH/USDT:USDT,buy,0.01,0.0,0.0,bot-09a70be2b44d4419
2026-09-12T06:50:11.348001+00:00,2519.51,2026-09-12T06:50:12.356648+00:00,2518.25,ETH/USDT:USDT,sell,0.01,0.0,5.001,bot-fb9f076282e04256
2026-09-12T06:50:19.536979+00:00,2519.32,2026-09-12T06:50:19.871922+00:00,2520.58,ETH/USDT:USDT,buy,0.01,0.0,5.0013,bot-ba0b6f85e02146b2
2026-09-12T06:51:17.224789+00:00,2520.11,2026-09-12T06:51:17.523170+00:00,2521.37,ETH/USDT:USDT,buy,0.01,0.0,4.9998,bot-58326817c73a4d4e
2026-09-12T06:51:25.134179+00:00,2520.49,2026-09-12T06:51:25.435385+00:00,2519.23,ETH/USDT:USDT,sell,0.01,0.0,4.999,bot-da2df14cfd8c48e5
2026-09-12T06:52:54.076906+00:00,2519.18,2026-09-12T06:52:54.797738+00:00,2517.92,ETH/USDT:USDT,sell,0.01,0.0,5.0016,bot-a33975da4cc04f45
2026-09-12T06:53:02.320804+00:00,2519.01,2026-09-12T06:53:02.773612+00:00,2520.27,ETH/USDT:USDT,buy,0.01,0.0,5.002,bot-e1dc2224f882456e
2026-09-12T06:55:33.996360+00:00,2518.86,2026-09-12T06:55:34.669505+00:00,2517.6,ETH/USDT:USDT,sell,0.01,0.0,5.0023,bot-eb7faed9c3bd4198
2026-09-12T06:55:42.945488+00:00,2518.72,2026-09-12T06:55:43.247675+00:00,2519.98,ETH/USDT:USDT,buy,0.01,0.0,5.0025,bot-7205bdcf904f407d
2026-09-12T07:00:15.122685+00:00,2519.0,2026-09-12T07:00:15.972373+00:00,2520.26,ETH/USDT:USDT,buy,0.01,0.0,5.002,bot-5621405fa4e547fd
2026-09-12T08:10:01.220434+00:00,2525.66,2026-09-12T08:10:02.379663+00:00,2526.92,ETH/USDT:USDT,buy,0.01,0.0,4.9888,bot-8968b5c541624afe
2026-09-12T08:30:01.129631+00:00,2527.86,2026-09-12T08:30:01.836508+00:00,2526.6,ETH/USDT:USDT,sell,0.01,0.0,4.9845,bot-a919e52ba6364487
2026-09-12T08:31:00.764848+00:00,2528.62,2026-09-12T08:31:01.061860+00:00,2529.88,ETH/USDT:USDT,buy,0.01,0.0,4.983,bot-4786aa24e6e04197
2026-09-12T09:34:00.725446+00:00,2532.41,2026-09-12T09:34:01.777918+00:00,2531.14,ETH/USDT:USDT,sell,0.01,0.0,5.015,bot-0578f4c3b9bd42a4
2026-09-12T09:54:00.554513+00:00,2528.92,2026-09-12T09:54:01.182014+00:00,2530.18,ETH/USDT:USDT,buy,0.01,0.0,4.9824,bot-0d8dc60417cc4ded
2026-09-12T09:55:00.944271+00:00,2528.33,2026-09-12T09:55:01.241626+00:00,2527.07,ETH/USDT:USDT,sell,0.01,0.0,4.9835,bot-a71f43d4965945f9
2026-09-12T10:02:00.825503+00:00,2532.33,2026-09-12T10:02:01.444406+00:00,2533.6,ETH/USDT:USDT,buy,0.01,0.0,5.0151,bot-5b6332dbea3f4ab7
2026-09-12T10:03:01.428572+00:00,2533.68,2026-09-12T10:03:02.197844+00:00,2534.95,ETH/USDT:USDT,buy,0.01,0.0,5.0125,bot-c31b6338cf6c40c4
2026-09-12T10:17:01.553811+00:00,2532.45,2026-09-12T10:17:02.290410+00:00,2531.18,ETH/USDT:USDT,sell,0.01,0.0,5.0149,bot-cbe8150ef2274b06
2026-09-12T10:18:00.702494+00:00,2532.18,2026-09-12T10:18:01.008939+00:00,2530.91,ETH/USDT:USDT,sell,0.01,0.0,5.0154,bot-8baa68ed84c7405d
2026-09-13T05:34:00.764537+00:00,2522.75,2026-09-13T05:34:02.500369+00:00,2523.7,ETH/USDT,buy,0.01,1e-05,3.7657,bot-9bfe563f883e42ae
2026-09-13T07:02:00.850279+00:00,2512.92,2026-09-13T07:02:01.125723+00:00,2514.15,ETH/USDT,buy,0.01,1e-05,4.8947,bot-45e42d193af641d5
2026-09-13T07:21:00.900228+00:00,2513.58,2026-09-13T07:21:01.634725+00:00,2515.23,ETH/USDT,sell,0.01,0.0251523,-6.5643,bot-90d77a5eff1440ca
2026-09-13T07:35:01.403662+00:00,2515.22,2026-09-13T07:35:02.047360+00:00,2516.38,ETH/USDT,buy,0.01,1e-05,4.6119,bot-22b5c4e050d14474
2026-09-13T07:55:01.068746+00:00,2517.47,2026-09-13T07:55:01.926595+00:00,2518.69,ETH/USDT,sell,0.01,0.0251869,-4.8461,bot-9eb718bfcc074eda
2026-09-13T09:03:00.712928+00:00,2495.36,2026-09-13T09:03:02.330613+00:00,2496.45,ETH/USDT,buy,0.01,1e-05,4.3681,bot-87b7cee0b0244a57
2026-09-13T09:12:00.739169+00:00,2492.42,2026-09-13T09:12:01.338065+00:00,2493.37,ETH/USDT,sell,0.01,0.0249337,-3.8116,bot-b831fdcfca5145a7
2026-09-13T09:22:00.721222+00:00,2493.53,2026-09-13T09:22:01.446913+00:00,2494.52,ETH/USDT,buy,0.01,1e-05,3.9703,bot-5fb968bc356a4a5d
2026-09-13T09:25:00.577982+00:00,2479.33,2026-09-13T09:25:01.243052+00:00,2480.31,ETH/USDT,sell,0.01,0.0248031,-3.9527,bot-2b081f853da147a0
